property_id,source_url,price_features_date_check
P001,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P002,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P003,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P004,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P005,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P006,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P007,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P008,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P009,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P010,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=1,passed
P011,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P012,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P013,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P014,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P015,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P016,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P017,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P018,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P019,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P020,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P021,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P022,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P023,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P024,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P025,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P026,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P027,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P028,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P029,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P030,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P031,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P032,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P033,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P034,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P035,"https://www.realestate.com.au/sold/in-parramatta,nsw/list-2",passed
P036,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,passed
P037,https://www.domain.com.au/sold-listings/parramatta-nsw-2150/?page=3,passed
B001,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B002,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B003,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B004,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B005,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B006,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B007,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B008,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B009,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B010,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B011,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B012,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B013,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B014,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B015,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B016,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B017,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B018,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B019,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B020,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,passed
B021,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B022,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B023,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B024,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B025,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B026,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B027,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B028,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B029,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B030,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B031,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B032,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B033,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B034,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B035,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B036,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B037,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B038,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B039,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=2,passed
B040,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,passed
B041,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,passed
B042,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,passed
B043,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/?page=3,passed
M001,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M002,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M003,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M004,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M005,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M006,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M007,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M008,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M009,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M010,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M011,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M012,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M013,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M014,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M015,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M016,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M017,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M018,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M019,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M020,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M021,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M022,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M023,https://www.realestate.com.au/sold/in-nsw-mosman/list-1,passed
M024,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M025,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M026,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M027,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M028,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
M029,https://www.realestate.com.au/sold/property-house-in-mosman/list-1,passed
